"","X","shim_sample_id","sample_name","cal_curve","manual_dilution","vial","npoc","tn","date","project","sample_id","person","notes"
"27",27,"ponds12","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,26,36.24,0,NA,"anika","mpls-5","arb",""
"28",28,"ponds13","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,27,22.41,0,NA,"anika","stp-41","arb",""
"29",29,"ponds14","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,28,30.31,0.4858,NA,"anika","stp-10","arb",""
"30",30,"ponds15","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,29,44.21,0,NA,"anika","mpls-46","arb",""
"31",31,"ponds16","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,30,34.23,0,NA,"anika","mpls-24","arb",""
"32",32,"ponds17","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,40,18.27,0,NA,"anika","mpls-23","arb",""
"33",33,"ponds18","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,41,16.24,0.1976,NA,"anika","mpls-21","arb",""
"34",34,"ponds2","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,16,71.83,1.537,NA,"anika","msp-10","arb",""
"35",35,"ponds3","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,17,26.08,1.204,NA,"anika","stp-21","arb",""
"36",36,"ponds4","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,18,20.44,0.3389,NA,"anika","stp-28","arb",""
"37",37,"ponds5","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,19,19.58,0,NA,"anika","stp-23","arb",""
"38",38,"ponds6","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,20,41.66,6.017,NA,"anika","mpls-27","arb",""
"39",39,"ponds7","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,21,30.58,0.4,NA,"anika","mpls-15","arb",""
"40",40,"ponds8","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,22,20.13,0,NA,"anika","mpls-13","arb",""
"41",41,"ponds9","anika","c:\toc-l\calcurves\tnstandardkkhgcn.2022_04_06_19_05_04.cal",1,23,18.63,0,NA,"anika","mpls-48","arb",""
