"","X","shim_sample_id","sample_name","cal_curve","manual_dilution","vial","npoc","tn","sample_id","dil","dilution_factor_1","dilution","dil_tn","dil_npoc"
"71",71,"nlanlf2273","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,73,15.27,0.3637,"nla22-wi-10140","",1,1,0.3637,15.27
"72",72,"nlanlf2274","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,74,15.62,0.3586,"nla22-wi-10140-dup","",1,1,0.3586,15.62
"73",73,"nlanlf2275","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,75,4.797,0.2815,"nlf22-20189","",1,1,0.2815,4.797
"74",74,"nlanlf2276","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,76,4.777,0.2642,"nlf22-20194","",1,1,0.2642,4.777
"75",75,"nlanlf2277","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,77,6.993,0.3352,"nlf22-20633","",1,1,0.3352,6.993
"76",76,"nlanlf2278","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,78,4.404,0.1686,"nlf22-20637","",1,1,0.1686,4.404
"77",77,"nlanlf2279","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,79,6.2,0.3215,"nlf22-20653","",1,1,0.3215,6.2
"78",78,"nlanlf228","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,8,5.075,0.3372,"nla22-wi-10007","",1,1,0.3372,5.075
"79",79,"nlanlf2280","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,80,9.878,0.2479,"nla22-mn-10001","",1,1,0.2479,9.878
"80",80,"nlanlf2281","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,81,9.476,0.4108,"nlf22-20670","",1,1,0.4108,9.476
"81",81,"nlanlf229","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,9,5.055,0.2768,"nla22-wi-10006","",1,1,0.2768,5.055
"82",82,"nlanlf82","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,1,4.608,0.1203,"nlf22-20688","nlf22-20688-dil",0.1973088196,5.06819716436031,0.609704118872545,23.3542525333723
"83",83,"nlanlf83","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,2,22.54,0.6339,"nlf22-20688","",1,1,0.6339,22.54
"84",84,"nlanlf84","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,3,9.764,0.3109,"nla22-mn-10070","",1,1,0.3109,9.764
"85",85,"nlanlf85","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,4,5.089,0.1839,"nla22-mn-10100","",1,1,0.1839,5.089
"86",86,"nlanlf86","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,5,4.005,0.1439,"nlf22-20283","",1,1,0.1439,4.005
"87",87,"nlanlf87","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,6,7.139,0.2126,"nlf22-20287","",1,1,0.2126,7.139
"88",88,"nlanlf88","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,7,8.794,0.2528,"nlf22-20292","",1,1,0.2528,8.794
"89",89,"nlanlf89","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,8,20.39,0.5892,"nlf22-20295","",1,1,0.5892,20.39
"90",90,"nlanlf90","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,9,10.96,0.3737,"nlf22-20473","",1,1,0.3737,10.96
"91",91,"nlanlf91","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,10,13.31,0.5046,"nlf22-20661","",1,1,0.5046,13.31
"92",92,"nlanlf92","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,11,9.407,0.5055,"nla22-mn-10067","",1,1,0.5055,9.407
"93",93,"nlanlf93","nlanlf","c:\toc-l\calcurves\100ppm_tn_calibrationcurve.2023_04_26_11_30_26.cal",1,12,2.422,0.04592,"nla22-wi-10140-dup","nla22-wi-10140-dup-dil",0.1326203209,7.54032257812159,0.346251612787343,18.2626612842105
